Bulbasaur,Ivysaur,Venusaur
Charmander,Charmeleon,Charizard
Squirtle,Wartortle,Blastoise
Caterpie,Metapod,Butterfree
Weedle,Kakuna,Beedrill
Pidgey,Pidgeotto,Pidgeot
Rattata,Ratticate
Rattata (Alola),Ratticate (Alola)
Spearrow,Fearow
Ekans,Arbok
Pichu,Pikachu,Raichu|Raichu (Alola)
Sandshrew,Sandslash
Sandshrew (Alola),Sandslash (Alola)
Nidoran ♀,Nidorina,Nidoqueen
Nidoran ♂,Nidorino,Nidoking
Cleffa,Clefairy,Clefable
Vulpix,Ninetales
Vulpix (Alola),Ninetales (Alola)
Igglybuff,Jigglypuff,Wigglytuff
Zubat,Golbat,Crobat
Oddish,Gloom,Vileplume|Bellossom
Paras,Parasect
Venonat,Venomoth
Diglett,Dugtrio
Diglett (Alola),Dugtrio (Alola)
Meowth,Persian
Meowth (Alola),Persian (Alola)
Psyduck,Golduck
Mankey,Primeape
Growlithe,Arcanine
Poliwag,Poliwhirl,Poliwrath|Politoed
Abra,Kadabra,Alakazam
Machop,Machoke,Machamp
Bellsprout,Weepinbell,Victreebel
Tentacool,Tentacruel
Geodude,Graveler,Golem
Geodude (Alola),Graveler (Alola),Golem (Alola)
Ponyta,Rapidash
Slowpoke,Slowbro|Slowking
Magnemite,Magneton,Magnezone
Doduo,Dodrio
Seel,Dewgong
Grimer,Muk
Grimer (Alola),Muk (Alola)
Shellder,Cloyster
Gastly,Haunter,Gengar
Onix,Steelix
Drowzee,Hypno
Krabby,Kingler
Voltorb,Electrode
Exeggcute,Exeggutor|Exeggutor (Alola)
Cubone,Marowak|Marowak (Alola)
Tyrogue,Hitmonlee|Hitmonchan|Hitmontop
Lickitung,Lickilicky
Koffing,Weezing
Rhyhorn,Rhydon,Rhyperior
Happiny,Chansey,Blissey
Tangela,Tangrowth
Horsea,Seadra,Kingdra
Goldeen,Seaking
Staryu,Starmie
Mime Jr.,Mr. Mime
Scyther,Scizor
Smoochum,Jynx
Elekid,Electabuzz,Electivire
Magby,Magmar,Magmortar
Magikarp,Gyarados
Eevee,Vaporeon|Jolteon|Flareon|Espeon|Sylveon|Leafeon|Umbreon|Glaceon
Porygon,Porygon 2,Porygon-Z
Omanyte,Omastar
Kabuto,Kabutops
Munchlax,Snorlax
Dratini,Dragonair,Dragonite
Chikorita,Bayleef,Meganium
Cyndaquil,Quilava,Typhlosion
Totodile,Croconaw,Feraligatr
Sentret,Furret
Hoothoot,Noctowl
Ledyba,Ledian
Spinarak,Ariados
Chinchou,Lanturn
Togepi,Togetic,Togekiss
Natu,Xatu
Mareep,Flaafy,Ampharos
Azurill,Marill,Azumarill
Bonsly,Sudowoodo
Hoppip,Skiploom,Jumpluff
Aipom,Ambipom
Sunkern,Sunflora
Yanma,Yanmega
Wooper,Quagsire
Murkrow,Honchkrow
Misdreavus,Mismagius
Wynaut,Wobbuffet
Pineco,Forretress
Gligar,Gliscor
Snubbul,Granbull
Sneasel,Weavile
Teddiursa,Ursaring
Slugma,Magcargo
Swinub,Piloswine,Mamoswine
Remoraid,Octillery
Mantyke,Mantine
Houndour,Houndoom
Phanpy,Donphan
Larvitar,Pupitar,Tyranitar
Treecko,Grovyle,Sceptile
Torchic,Combusken,Blaziken
Mudkip,Marshtomp,Swampert
Poochyena,Mightyena
Zigzagoon,Linoone
Wurmple,Silcoon,Beautifly
Wurmple,Cascoon,Dustox
Lotad,Lombre,Ludicolo
Seedot,Nuzleaf,Shiftry
Taillow,Swellow
Wingull,Pelipper
Ralts,Kirlia,Gardevoir|Gallade
Surskit,Masquerain
Shroomish,Breloom
Slakoth,Vigoroth,Slaking
Nincada,Ninjask|Shedinja
Whismur,Loudred,Exploud
Makuhita,Hariyama
Nosepass,Probopass
Skitty,Delcatty
Aron,Lairon,Aggron
Meditite,Medicham
Electrike,Manectric
Budew,Roselia,Roserade
Gulpin,Swalot
Carvanha,Sharpedo
Wailmer,Wailord
Numel,Camerupt
Spoink,Grumpig
Trapinch,Vibrava,Flygon
Cacnea,Cacturne
Swablu,Altaria
Barboach,Whiscash
Corphish,Crawdaunt
Baltoy,Claydol
Lileep,Cradily
Anorith,Armaldo
Feebas,Milotic
Shuppet,Banette
Duskull,Dusclops,Dusknoir
Chingling,Chimecho
Snorunt,Glalie|Froslass
Spheal,Sealeo,Walrein
Clamperl,Huntail|Gorebyss
Bagon,Shelgon,Salamence
